公司,关系大类,命中关键词,来源平台,新闻标题,媒体,发布日期,链接,摘要,正文
中信证券,研报观点,,cnstock,中信证券：预计AI相关商品将成为我国外贸增长的新引擎,中证金牛座,2026-06-05,https://jnzstatic.cs.com.cn/zzb/htmlInfo/124412.html,,中信证券研报认为，展望2026年全年，根据WTO最新发布的《全球贸易展望（3月版）》，受益于AI相关的资本开支快速增长，相关商品出口需求也实现高速增长，其上修了2026年全球贸易量同比增速预测，读数从0.5%上调至1.9%。基于此，预计AI相关商品将成为我国外贸增长的新引擎，叠加传统能源价格中枢抬升及其驱动的绿色产品增量需求，我国2026年的进出口均有望维持高景气，预计全年出口和进口同比增速或达13.2%和15.5%左右，对应的贸易顺差规模仍有望保持较高规模。
中信证券,研报观点,,cnstock,中信证券160亿元定增落地 券业资本补充提速,经济参考报,2026-06-01,https://www.cs.com.cn/qs/2026/06/01/detail_2026060110015224.html,5月28日晚，中信证券发布公告，拟向大股东中国中信金融控股有限公司（以下简称“中信金控”）定向发行7.94亿股H股，发行价格为每股23.13港元，募集资金总额为人民币160亿元。本次募集资金将全部用于发展国际化业务，具体投向包括增资中信证券国际有限公司、拓展资本中介类业务、补充境外运营流动性等。 上市券商资本补充正在稳步推进,"5月28日晚，中信证券发布公告，拟向大股东中国中信金融控股有限公司（以下简称“中信金控”）定向发行7.94亿股H股，发行价格为每股23.13港元，募集资金总额为人民币160亿元。本次募集资金将全部用于发展国际化业务，具体投向包括增资中信证券国际有限公司、拓展资本中介类业务、补充境外运营流动性等。
上市券商资本补充正在稳步推进。除中信证券外，今年以来还有3家A股上市券商披露定增计划，其中2家与并购重组密切相关。这也意味着，在“扶优限劣”的监管导向下，证券行业正加速通过“资本补充+兼并重组”双重路径实现做优做强。
从发行方案来看，中信证券本次H股的发行对象为其第一大股东中信金控。中信金控作为中信集团综合金融服务板块发展的平台和主体，将以现金认购本次发行的全部股份，并承诺48个月内不转让认购股份。在资本市场定增案例中，这样长达四年的锁定期属于高标准配置。发行完成后，中信金控持股比例将提升至23.91%。
业内人士表示，此次定向发行充分展示了中信集团、中信金控对中信证券发展前景的长期看好，将进一步强化中信集团、中信金控与中信证券的战略协同，深化资源整合与业务联动，以实际行动坚定支持中信证券的国际化发展。
本次160亿元募集资金的投向极其明确，并不用于境内常规业务周转，而是全部用于发展公司国际化业务，其中对境外全资子公司中信证券国际的增资不超过人民币160亿元。
具体来看，募集资金主要用于开展三方面业务：一是开展跨境以及境外股权衍生品、大宗商品、固定收益类的资本中介业务，增强公司为客户提供全球风险管理和资产配置的综合服务能力；二是为境外持牌子公司提供资本金，进一步完善覆盖全球的金融服务网络；三是补充境外流动性，保障流动性安全及降低融资成本。
值得注意的是，在定增预案披露的同日，中信证券推出了未来三年股东回报规划。此前，在重资本券商融资案例中，市场往往担忧资本扩张会对当期ROE（净资产收益率）和每股收益造成摊薄。
中信证券方面强调，将按照监管政策和公司治理机制要求，保持分红政策的稳定性与透明度，推行常态化、规范化的分红，以求股东回报与公司经营发展相契合。
2026年至今，上市券商资本补充稳步推进。目前，已有4家券商年内推出定增计划，其中2家与并购重组密切相关。在业内人士看来，这标志着证券行业在“扶优限劣”监管导向下，正加速通过“资本补充+兼并重组”双重路径实现做优做强。
Wind数据显示，以最新预案公告日作为统计标准，截至5月29日记者发稿，除中信证券外，年内还有西南证券、东吴证券、东方证券三家上市券商披露了定增预案。进度方面，目前西南证券定增预案已获股东大会通过，东吴证券、东方证券则处于董事会预案阶段。
今年2月，西南证券发布2026年度向特定对象发行A股股票预案。公司拟向不超过35名特定对象发行不超过19.94亿股，募集资金总额不超过60亿元。这一定增预案的发布，恰逢2026年2月A股再融资新政落地，也是再融资新政后证券行业首单大额定增预案。
谈及募资用途，西南证券表示，本次发行所募资金在扣除发行费用后将全部用于补充公司资本金，进一步优化公司的资本结构。具体投向包括：财富管理业务、投资银行业务、资产管理业务、证券投资业务、增加子公司投入、信息技术与合规风控建设、偿还债务及补充其他营运资金。
另外两起券商定增则均与行业并购整合有关。今年3月，东吴证券公告拟以发行股份及支付现金的方式，合计购买常州投资集团有限公司等交易对方持有的东海证券83.77%的股份。随后的5月初，东方证券公告，公司拟通过发行A股股份及支付现金方式购买上海证券100%股权。
自2025年券商再融资“破冰”以来，上市券商的资本补充节奏明显加快。去年至今，中泰证券、南京证券等多家券商已完成定增发行，行业资本实力稳步提升。
东吴证券非银金融首席分析师孙婷表示：“2025年以来，券商再融资持续活跃，从认购结构看，大股东认购比例普遍较高，体现了大股东对券商发展前景的看好。”
中信建投非银及金融科技首席分析师赵然表示，券商要实现做优做强的目标，往往需要提升买方业务能力，而提升这一能力，通常离不开资本的补充。不过，券商在持续扩表过程中资金运用效率偏低，导致估值难以长期稳定，难以继续在公开市场进行股权融资，被迫采取定向配股或发行次级债补充资本。破局的核心是优化资本运用方式、开展商业模式创新，将重资本业务“做轻”，轻资本业务“做重”，并通过“并购+科技投入+国际化”三大路径实现弯道超车。"
中信证券,其他,,cnstock,大股东拟增资160亿元，中信证券加码国际化,中国证券报微信公众号,2026-05-28,https://mp.weixin.qq.com/s/IAoixxTZy-2ntBV8-kLB6w,,微信扫一扫可打开此内容， 使用完整服务
中信证券,研报观点,,cnstock,大股东拟增资160亿元，中信证券加码国际化并出炉三年股东回报规划,中证金牛座,2026-05-28,https://jnzstatic.cs.com.cn/zzb/htmlInfo/123835.html,,"5月28日，中信证券连发两项重要公告，官宣百亿级H股定向增发计划，同时审议通过未来三年股东回报规划，一方面加码国际化业务布局、夯实境外发展实力，另一方面稳定股东回报、筑牢长期投资价值。
当日披露的定增公告显示，中信证券拟向第一大股东中国中信金融控股有限公司（以下简称中信金控）定向发行7.94亿H股，发行价格为每股23.13港元， 本次募集资金总额折合人民币160亿元 ，所募资金将全部用于公司国际化业务发展，具体投向涵盖增资中信证券国际有限公司（以下简称中信证券国际）、拓展境外资本中介类业务、补充海外运营流动性等核心领域。
据了解，本次H股定向发行由大股东中信金控全额现金认购，同时中信金控作出承诺，48个月内不转让本次认购的全部股份。交易完成后，中信金控对中信证券的持股比例将提升至23.91%。
相关负责人表示，作为中信集团综合金融服务板块的核心发展平台与运营主体，中信金控全额包揽本次定增股份，是中信集团及中信金控看好中信证券长期发展前景的有力佐证。此次资本注入，将进一步深化中信证券与控股股东的战略协同关系，强化集团内部资源整合与跨境业务联动，以实打实的资本支持，为公司国际化战略落地保驾护航。
本次百亿级募资落地后，将有效缓解中信证券及其境外子公司的资本约束，大幅提升中信证券国际业务资本实力、风险抵御能力及境外市场扩张能力，助力公司更好承接中国企业“走出去”、国际资本“引进来”的双向金融服务需求。
凭借多年全球化布局，目前中信证券业务已覆盖亚太、欧美13个国家及60多个主要金融市场，是“一带一路”区域内，分支机构布局、研究覆盖范围、销售网络及清算交收基础设施最为完善的中资券商。依托完善的海外业务体系，中信证券国际业务持续稳步增长，经营成效凸显，去年国际业务业绩创下历史新高，本次资本加持将进一步打开公司海外业务增长空间。
在加码国际化布局的同时，中信证券同日发布未来3年股东回报规划。中信证券董事会明确，将严格遵循监管要求与公司治理规范，维持分红政策的稳定性、连续性与透明度，通过常态化、标准化的现金分红机制，实现股东回报、公司经营发展与投资者预期的有机统一，持续巩固公司长期投资价值。
公开数据显示，中信证券自2003年A股上市以来，始终坚守稳定分红理念，持续以现金分红回馈投资者。截至2026年5月，公司已实现连续24年现金分红，累计分红总额超930亿元。其中2025年年度分红金额达103.74亿元，创下公司年度分红历史新高。长期来看，公司现金分红比例稳定维持在35%左右，分红水平位居证券行业前列，充分展现出稳健的经营实力和回馈股东的责任担当。"
中信证券,研报观点,投资,cnstock,中信证券资本市场论坛研判：变局中彰显经济韧性 多行业投资机遇显现,中国证券报,2026-05-28,https://www.cs.com.cn/qs/2026/05/28/detail_2026052810014575.html,5月27日至29日，中信证券2026年资本市场论坛在上海举办。 公司供图 分析人士认为，当前全球经济迎来深度结构性转型，地缘冲突、能源价格波动以及各国政策分化使全球发展态势显著割裂，外部不确定性持续升温。在此背景下，中国经济于风浪中尽显韧性，依托“韧链强基”“科创自立”双轮驱动，人工智能、高端制造等新兴产业不断突破,"5月27日至29日，中信证券2026年资本市场论坛在上海举办。
分析人士认为，当前全球经济迎来深度结构性转型，地缘冲突、能源价格波动以及各国政策分化使全球发展态势显著割裂，外部不确定性持续升温。在此背景下，中国经济于风浪中尽显韧性，依托“韧链强基”“科创自立”双轮驱动，人工智能、高端制造等新兴产业不断突破，新增长动力加速形成。业内预判国内经济运行总体平稳，资本市场投融资生态持续优化。面对全球K型分化格局，A股形成全新配置逻辑，AI、能源化工成为核心主线，光通信、大模型、创新药、能化等领域迎来供需共振，各大细分赛道开启价值重估窗口。
“过去一年，中国经济于全球动荡中彰显韧性，资本市场生态持续优化、信心稳步提振。”中信证券执行委员、中信证券国际董事长李春波表示，当前全球产业链重构加速，地缘冲突、科技封锁与资源安全问题交织，筑牢实体经济根基、提升产业链韧性愈发重要。
同时，新一轮科技革命深入推进，我国在人工智能、高端制造、新能源等领域实现突破，正重塑产业竞争优势。李春波表示，从核心逻辑来看，“韧链强基”与“科创自立”的双重驱动，将强化资本市场服务新质生产力的功能，推动价值投资新机遇的形成。“韧链强基”的核心是筑牢产业链供应链安全屏障，增强关键领域自主可控能力，这构成了统筹发展和安全的重要支撑；“科创自立”聚焦关键核心技术突破，正重塑宏观经济、产业体系与资本市场运行范式。
这一产业政策格局将从投融资两端深刻重塑市场生态。李春波认为，融资端，政府工作报告明确对关键核心技术领域的科技型企业常态化实施上市融资、并购重组“绿色通道”机制，以科技金融支持创新创造；投资端，“长钱长投”制度环境持续完善，投资者可伴随科技型企业成长，分享科技进步成果。值得关注的是，随着中国资本市场韧性提升，低波动上行行情预期将更深入人心，投融资协调发展格局将愈发稳固。
中信证券首席经济学家明明表示，当前全球经济正经历深度结构性转型。发达经济体受刚性债务、利息支出拖累，财政负担加重，长期增长动能持续走弱。受相关地缘冲突影响，国际油价上行，预计将滞后推升美国通胀，进一步压缩美联储降息空间。在此背景下，2026年美国经济或将温和增长，短期美债利率维持高位，美元指数有望持续走强。
中信证券宏观与政策首席分析师杨帆表示，我国经济发展的新动力正在快速崛起。AI产业外需爆发与地缘局势引发的输入型通胀成为2026年宏观经济新特征。政策聚焦更多转向结构性改革，以反内卷和碳考核优化供给，以财税改革引导需求。展望下半年，预计全年GDP实际增速可达4.7%，出口延续高景气，消费呈现服务强、商品弱格局，投资实现低速正增长。
大类资产配置上，明明认为，在经济复苏、通胀温和回升的环境中，权益资产性价比突出。A股市场方面，AI产业发展、大宗商品价格上涨将成为核心定价因素。债券市场方面，利率债短端走势保持稳定，长债利差有望收窄，信用债收益率进一步下行的空间有限，建议重点关注具备利差优势、投资胜率较高的板块。汇率层面，人民币汇率有望实现温和升值。
对于全球市场，中信证券国际首席经济学家Leif Eskesen表示，去年支撑全球经济韧性的利好因素正在消退，虽然部分经济体有望迎来新增长动能，但中东地缘局势已经对进口油气敞口较高的亚洲国家产生显著冲击，各经济体的发展态势将出现显著分化。这一分化格局在货币政策与财政政策层面表现得尤为突出，货币政策方面，全球宽松周期已基本结束，部分央行边际上逐步转向收紧；财政政策方面，各国前景分化，但美国、德国和日本相对积极。
具体来看，Leif Eskesen认为，美国的经济数据仍具韧性，劳动力市场维持弱稳定，但消费者信心走弱、实际支出放缓，而且通胀受关税和能源价格推动依然高企，美联储或将维持较长时间的观望立场。
中信证券国际首席股票策略师Alexander Redman表示，中东地缘局势推动油价上行，当前WTI原油价格较美国库存对应的均衡价格存在显著地缘政治溢价，美国CPI也已升至近三年高位。倘若美联储被迫加息，收益率曲线的熊平风险或将对周期股带来冲击。AI应用落地或将推动美国生产率实现翻倍增长，但超大型云厂商的资本开支已超出自身内部融资能力，或引发过度发行债券的风险。
“放眼美股市场，市场普遍预期标普500指数每股收益（EPS）在未来两年将延续高增长态势，增速大幅超过过去四十年平均水平。不过，当前市场情绪极度乐观，标普500指数经周期调整的市盈率处于高位，市销率更是超过了互联网泡沫时期的高点，散户保证金余额占市值比例也创下历史纪录。”Alexander Redman称，参考拟合模型测算结果，目前美股已处于超买状态，未来一年内上行空间较为有限。
在全球经济分化与风险交织的背景下，A股市场呈现独特运行逻辑。针对下半年股票投资策略，中信证券首席A股策略师裘翔提出应对市场波动的三大底层框架：一是立足全球视角审视中国市场；二是以K型思维替代牛熊思维研判市场格局；三是从“建造AI”向“适应AI”的维度看待技术演进。配置策略则聚焦“AI+能化”的新杠铃结构。
“从AI发展的影响来看，无论是宏观经济增速、市场个股涨幅，还是个体劳动收入，均受其驱动呈现出显著的K型分化。”裘翔认为，从A股企业盈利维度观察，除产业自身因素外，核心影响因素为人民币汇率的持续升值趋势，以及通胀回升背景下CPI与PPI的剪刀差变化——前者关乎外需相关企业的利润兑现，后者影响内需领域的价格传导效率。从市场资金面来看，AI时代下，全民更广泛参与资本市场已成为必然趋势，但错失机遇与决策失误的成本均有所抬升，这意味着激进型与保守型资金将同步存在、持续壮大，杠铃结构或将长期存续。
配置层面，裘翔表示，Agentic AI催生新增需求，中东供应链中断抑制供给，二者构成了今年超预期供需缺口的形成与利润兑现的核心驱动因素。“AI+能化”由此成为本年度新的杠铃结构，类似2023年-2024年的“AI+红利”及2025年的“AI+资源”配置逻辑。从长期视角看，围绕“建造AI”的相关原生AI及“卖铲人”相关投资机会已获得充分认知，而“适应AI”已成为更广泛的经济与市场参与主体所面临的核心挑战，亦将逐步成为下一阶段的市场主旋律与核心机遇，其核心在于持续夯实并强化内在比较优势。
下半年重点行业机会展望是本次资本市场投资论坛的焦点，重点方向集中在供需共振、技术突破与政策支持三大核心领域，中信证券多名行业分析师分别提示了国产光通信、大模型、创新药及能源化工等多个赛道的投资机遇，为投资者提供了明确的布局方向。
具体到细分领域，在AI产业持续高景气的背景下，光通信行业成为确定性较高的受益赛道。中信证券通信行业首席分析师李赫然表示，光互联正在逐渐替代铜连接，成为实现高性能、高带宽、低延迟AI网络的关键。其中Scale up层面作为新兴光模块市场，技术处于高速迭代阶段，NPO、CPO等方案同步演进。长期看，预计CPO将成为产业发展大趋势，但短期受制于产业成熟度等因素，NPO将成为下一代落地应用的主战场。在技术快速演进的过程中，行业龙头依托深厚的技术积淀与持续的创新能力，将继续巩固技术领先优势并引领产业升级方向，因此国内外光通信龙头企业值得重点关注。
除此之外，AI大模型领域的商业化落地与技术深化带来显著投资机会。中信证券互联网行业首席分析师廖原表示，全球模型公司商业化进入兑现阶段，ARR与估值齐创新高，行业演进至Agent深化阶段，Harness工程加速落地；Coding成为全行业共识赛道，多态是Agent必经之路，国产视频生成模型位居全球第一梯队。历经三年发展，中美技术代际差距已收敛至5个月以内，国产厂商在紧跟主线的同时具备算力适配与性价比优势。展望未来，Agent与多模态深化有望驱动Token消耗实现5年百倍增长，长期向全球模型跃迁，建议重点关注具备全栈AI能力的头部模型公司及云计算企业。
另一个值得重点布局的领域是创新药行业，中信证券创新药行业首席分析师李安飞表示，2026年多个国际学术大会召开在即，行业进入创新药数据密集读出期，头部创新药企业有望迎来业绩释放，核心管线即将迎来重磅数据读出催化，具有全球潜力的资产国际化价值有望加速兑现。同时，政策层面的大变革也开始逐步回归到以临床价值和需求为导向的价格定价体系，带来稳定且持续的医药市场环境，行业成长确定性较高，既具备阿尔法机会，也不乏贝塔行情，建议加大对龙头创新医药器械企业的布局力度。
此外，能源化工板块在预期差修复中凸显投资价值。中信证券能源转型行业分析师管宸昊表示，当前市场及产业对能源化工下游需求预期较悲观，存在较大预期差，下游因不相信涨价能持续而完成去库，后续补库开启叠加旺季需求，有望推动化工价差和盈利超预期增长，看好能源化工板块的布局机会。"
中信证券,研报观点,,cnstock,中信证券明明：我国经济在波动中复苏 权益资产性价比突出,中证金牛座,2026-05-27,https://jnzstatic.cs.com.cn/zzb/htmlInfo/123673.html,,"5月27日至29日，中信证券2026年资本市场论坛在上海举办。
会议上，中信证券首席经济学家明明表示，当前全球经济正经历深度结构性转型。发达经济体受刚性债务、利息支出拖累，财政负担加重，长期增长动能持续走弱。受相关地缘冲突影响，国际油价上行，预计将滞后推升美国通胀，进一步压缩美联储降息空间。在此背景下，2026年美国经济或将温和增长，短期美债利率维持高位，美元指数有望持续走强。
明明预计，在宏观政策持续发力下，2026年国内实际GDP增速有望达到4.7%左右，伴随通胀回暖，名义GDP也将迎来回升。财政政策将保持温和扩张，地方化债工作稳步推进，地方政府财力逐步改善，政策对经济的提振效果将持续显现。货币政策方面，当前市场流动性合理充裕，降准必要性偏低；叠加温和通胀环境，降息的紧迫性也有所下降。
大类资产配置上，明明认为，在经济复苏、通胀温和回升的环境中，权益资产性价比突出。A股市场里，AI产业发展、大宗商品价格上涨将成为核心定价主线。债券市场方面，利率债短端走势保持稳定，长债利差有望收窄，信用债收益率进一步下行空间有限，建议重点关注具备利差保护、投资胜率较高的板块。汇率层面，人民币汇率有望实现温和升值。"
中信证券,研报观点,,cnstock,中信证券李春波：“韧链强基”与“科创自立”双轮驱动 重塑资本市场发展格局,中证金牛座,2026-05-27,https://jnzstatic.cs.com.cn/zzb/htmlInfo/123672.html,,"5月27日至29日，中信证券2026年资本市场论坛在上海举办。
中信证券执行委员、中信证券国际董事长李春波在会上表示，过去一年，中国经济于全球动荡中彰显韧性，资本市场生态持续优化、信心稳步提振。当前全球产业链重构加速，地缘冲突、科技封锁与资源安全问题交织，筑牢实体经济根基、提升产业链韧性愈发重要。同时，新一轮科技革命深入推进，我国在人工智能、高端制造、新能源等领域实现突破，正重塑产业竞争优势。
李春波认为，“韧链强基”与“科创自立”的双重驱动，将强化资本市场服务新质生产力的功能，加速价值投资新机遇形成。
“韧链强基”的核心是筑牢产业链供应链安全屏障，增强关键领域自主可控能力，是统筹发展和安全的重要支撑。李春波表示，从外部环境来看，地缘冲突频发、技术封锁与贸易壁垒蔓延，大国博弈加剧，凸显提升自主可控能力的紧迫性。政策层面，我国“十五五”规划将建设现代化产业体系、加快高水平科技自立自强作为两大重大战略任务，聚焦战略竞争领域和产业链薄弱环节，人工智能、生物科技等重点领域将获持续政策倾斜。市场端，全球投资者对韧性与安全的溢价认知提升，资本向安全韧性领域聚集，成为中国资本市场与实物资产价值重估的重要基础。
“科创自立”聚焦关键核心技术突破，正重塑宏观经济、产业体系与资本市场运行范式。李春波表示，一方面，算力、AI、新能源等新产业新业态，已成为稳增长、调结构的重要支撑，储能、电动车等新能源产品增长潜力持续释放；另一方面，新技术向经济社会全域渗透，人工智能赋能千行百业，推动各领域生产流程、商业模式革新。企业竞争焦点从资源占有转向技术变革适配，产业组织方式向数字化、网络化协同演进。
从资本市场视角，这一产业与政策格局将深刻重塑市场生态。融资端，政府工作报告明确对关键核心技术领域的科技型企业，常态化实施上市融资、并购重组“绿色通道”机制，以科技金融支持创新创造；投资端，“长钱长投”制度环境持续完善，投资者可伴随科技型企业成长，分享科技进步成果。随着中国资本市场韧性提升，低波动上行行情预期将更深入人心，投融资协调发展格局将愈发稳固。"
中信证券,研报观点,,cnstock,中信证券：上海加码太空算力，全球产业正提速,中证金牛座,2026-05-22,https://jnzstatic.cs.com.cn/zzb/htmlInfo/123300.html,,中信证券研报称，太空算力产业发展研讨会近日在上海召开，建立“高校+科研院所+科技企业”创新体系；SpaceX规划百万颗级别太空算力星座，自建芯片工厂加码产业布局，全球太空算力产业趋势进一步强化。尽管由于商业火箭客观特点，可回收等发射节奏时有波动，但更需看到可回收技术突破后产业实现指数级别增长的潜力，以及太空算力更广阔的产业空间，聚焦“核心资产”及“通胀环节”。
中信证券,研报观点,,cnstock,中信证券：大众品调整接近尾声、龙头彰显韧性，配置窗口开启,中证金牛座,2026-05-22,https://jnzstatic.cs.com.cn/zzb/htmlInfo/123299.html,,中信证券研报称，过去三年业绩下行期中，大众品企业削减资本开支减少产能投放、计提减值推动资产负债表质量提升、提升分红回购比例增加股东回报，短期财报显示大众品行业需求筑底、竞争缓和，基本面调整接近尾声。同时在行业下行期过程中，龙头公司竞争力依然强大，实现份额稳中有升。看好大众品2026年基本面温和上行以及板块底部配置的宝贵机会。重点推荐顺周期属性较强的餐供和乳品板块；推荐独立成长性强的量贩零食龙头公司、保健品龙头公司以及饮料龙头；推荐部分估值便宜或者短期杀跌较多的饮料企业和零食企业。
中信证券,研报观点,,cnstock,中信证券：短期港股估值扩张行情或延续,中证金牛座,2026-05-21,https://jnzstatic.cs.com.cn/zzb/htmlInfo/123211.html,,中信证券研报称，当前港股流动性依旧较为充裕。鉴于5月底MSCI季度调仓或对港股带来增量资金，短期港股估值扩张的行情或延续，但6月起需关注解禁对港股二级市场流动性的压力。行业维度方面，建议关注：科技板块中业绩预期已充分调整的互联网、半导体和机器人板块；基本面预期触底、低估值+高股息的消费板块；港股红利交易扩散下或受益的能源、电信运营商、公用事业等。
